UAN,Age,State_Origin,State_Current,Occupation_Sector,Daily_Wage,Skill_Level,Scheme_Enrolled,Registration_Date
MOCK-UAN-5136-8827,25,Bihar,Jharkhand,Domestic Worker,318,Unskilled,eShram,2025-02-14
MOCK-UAN-5978-2395,-2,Bihar,Karnataka,Domestic Worker,417,Semi-skilled,PM-Kisan,2025-10-09
MOCK-UAN-8253-5871,55,Gujarat,Andhra Pradesh,Domestic Worker,318,Unskilled,eShram,2026-06-17
MOCK-UAN-2330-3573,33,Jharkhand,Maharashtra,Construction,1026,Highly-skilled,None,2026-08-21
MOCK-UAN-5771-1534,32,Uttar Pradesh,Uttar Pradesh,Manufacturing,298,Unskilled,eShram,2025-06-12
MOCK-UAN-4241-7965,25,West Bengal,Jharkhand,Agriculture,528,Semi-skilled,PM-SYM,2025-06-24
MOCK-UAN-5728-8195,25,Karnataka,Karnataka,Manufacturing,469,Skilled,PM-Kisan,2026-03-21
MOCK-UAN-2317-1653,45,Tamil Nadu,Tamil Nadu,Construction,391,Unskilled,eShram,2026-08-06
MOCK-UAN-1339-5415,54,Andhra Pradesh,Andhra Pradesh,Gig Worker,1004,Highly-skilled,PM-Kisan,2026-07-14
MOCK-UAN-5557-3973,-5,Gujarat,Gujarat,Manufacturing,285,Unskilled,None,2025-09-06
MOCK-UAN-6260-2713,-1,Tamil Nadu,West Bengal,Agriculture,904,Highly-skilled,PM-Kisan,2024-10-22
MOCK-UAN-6153-5135,38,Bihar,Bihar,Manufacturing,200,Unskilled,PM-Kisan,2026-01-01
MOCK-UAN-4073-9494,41,Odisha,Odisha,Manufacturing,289,Unskilled,eShram,2025-06-15
MOCK-UAN-5719-8178,62,Karnataka,Maharashtra,Gig Worker,717,Skilled,PM-Kisan,2024-09-29
MOCK-UAN-2527-4681,25,Karnataka,Karnataka,Gig Worker,1073,Highly-skilled,Ayushman Bharat,2026-02-18
MOCK-UAN-7807-8905,48,Maharashtra,Jharkhand,Manufacturing,424,Semi-skilled,PM-Kisan,2026-02-17
MOCK-UAN-3236-2143,-5,Gujarat,Odisha,Agriculture,259,Unskilled,Ayushman Bharat,2025-07-17
MOCK-UAN-9022-3434,-5,West Bengal,Tamil Nadu,Domestic Worker,874,Highly-skilled,None,2025-08-10
MOCK-UAN-4912-7274,16,Gujarat,West Bengal,Manufacturing,2500,Highly-skilled,eShram,2026-02-04
MOCK-UAN-3068-9229,55,Tamil Nadu,Tamil Nadu,Manufacturing,316,Unskilled,PM-Kisan,2026-05-28
MOCK-UAN-3529-2225,48,Uttar Pradesh,Karnataka,Construction,623,Skilled,PM-Kisan,2025-10-09
MOCK-UAN-8994-9864,20,Odisha,Uttar Pradesh,Gig Worker,425,Unskilled,None,2024-12-24
MOCK-UAN-2646-8269,28,Uttar Pradesh,Uttar Pradesh,Construction,654,Skilled,PM-SYM,2025-07-12
MOCK-UAN-8056-3385,33,West Bengal,Jharkhand,Gig Worker,598,Semi-skilled,PM-SYM,2026-06-01
MOCK-UAN-4945-9153,55,Jharkhand,Tamil Nadu,Manufacturing,564,Skilled,PM-SYM,2026-01-04
MOCK-UAN-9955-3588,22,Karnataka,Karnataka,Domestic Worker,583,Skilled,None,2026-08-22
MOCK-UAN-5949-4263,42,Karnataka,Gujarat,Domestic Worker,580,Skilled,PM-Kisan,2025-07-14
MOCK-UAN-5837-1359,60,Gujarat,Andhra Pradesh,Domestic Worker,826,Highly-skilled,Ayushman Bharat,2025-05-08
MOCK-UAN-6772-4588,58,Maharashtra,Maharashtra,Gig Worker,414,Unskilled,PM-SYM,2025-07-28
MOCK-UAN-1546-6977,64,Jharkhand,Tamil Nadu,Agriculture,913,Highly-skilled,eShram,2025-06-17
MOCK-UAN-5465-3695,34,Karnataka,Karnataka,Agriculture,600,Skilled,PM-SYM,2026-01-07
MOCK-UAN-3306-4696,61,Gujarat,Gujarat,Domestic Worker,588,Skilled,PM-SYM,2026-05-12
MOCK-UAN-5295-7242,58,Tamil Nadu,Maharashtra,Manufacturing,229,Unskilled,PM-Kisan,2026-04-12
MOCK-UAN-4626-2035,58,Karnataka,Karnataka,Agriculture,878,Highly-skilled,PM-SYM,2026-05-16
MOCK-UAN-2902-2592,33,West Bengal,Karnataka,Agriculture,882,Highly-skilled,PM-Kisan,2025-02-20
MOCK-UAN-2622-9017,57,Gujarat,Gujarat,Agriculture,259,Unskilled,Ayushman Bharat,2025-04-25
MOCK-UAN-4868-6942,24,Tamil Nadu,Gujarat,Construction,941,Highly-skilled,Ayushman Bharat,2025-03-28
MOCK-UAN-8450-2501,60,Maharashtra,Maharashtra,Domestic Worker,320,Unskilled,PM-SYM,2025-08-22
MOCK-UAN-3063-4362,22,West Bengal,Maharashtra,Gig Worker,794,Skilled,eShram,2026-04-18
MOCK-UAN-5106-3858,25,Andhra Pradesh,Gujarat,Gig Worker,708,Skilled,PM-SYM,2025-03-12
MOCK-UAN-3076-7897,51,Bihar,Bihar,Manufacturing,17619,Highly-skilled,Ayushman Bharat,2026-02-22
MOCK-UAN-8405-9254,32,Odisha,West Bengal,Agriculture,7121,Highly-skilled,PM-SYM,2024-11-16
MOCK-UAN-7580-7984,61,Bihar,West Bengal,Construction,254,Unskilled,Ayushman Bharat,2026-05-20
MOCK-UAN-9984-6327,42,Odisha,Karnataka,Domestic Worker,898,Highly-skilled,PM-SYM,2026-05-15
MOCK-UAN-4743-7779,39,Karnataka,Bihar,Agriculture,903,Highly-skilled,Ayushman Bharat,2026-07-28
MOCK-UAN-3500-8770,22,Bihar,Bihar,Construction,15249,Highly-skilled,PM-SYM,2025-10-01
MOCK-UAN-1982-6400,60,Bihar,Karnataka,Construction,640,Skilled,PM-Kisan,2025-07-31
MOCK-UAN-9313-4485,27,Karnataka,Bihar,Agriculture,615,Skilled,PM-SYM,2025-06-27
MOCK-UAN-8030-1430,56,Uttar Pradesh,Tamil Nadu,Agriculture,598,Skilled,Ayushman Bharat,2026-06-22
MOCK-UAN-7566-2140,27,Andhra Pradesh,Odisha,Gig Worker,941,Highly-skilled,None,2025-12-23
MOCK-UAN-7062-6105,64,Tamil Nadu,Tamil Nadu,Domestic Worker,357,Unskilled,PM-SYM,2026-06-03
MOCK-UAN-5458-8259,60,Gujarat,West Bengal,Manufacturing,637,Skilled,eShram,2025-04-10
MOCK-UAN-8972-9633,60,Uttar Pradesh,Karnataka,Domestic Worker,339,Unskilled,PM-SYM,2025-04-12
MOCK-UAN-4460-3248,34,Uttar Pradesh,Andhra Pradesh,Manufacturing,854,Highly-skilled,eShram,2025-01-25
MOCK-UAN-4770-9196,53,Tamil Nadu,Andhra Pradesh,Manufacturing,370,Unskilled,None,2024-12-03
MOCK-UAN-8033-7626,63,Gujarat,Karnataka,Construction,579,Skilled,eShram,2026-06-09
MOCK-UAN-6928-2443,45,Bihar,Karnataka,Domestic Worker,329,Unskilled,None,2025-07-29
MOCK-UAN-4630-6456,28,Bihar,Jharkhand,Domestic Worker,559,Semi-skilled,Ayushman Bharat,2025-09-09
MOCK-UAN-3419-4871,24,Jharkhand,Maharashtra,Domestic Worker,400,Semi-skilled,PM-SYM,2025-03-15
MOCK-UAN-9095-8601,54,Odisha,Tamil Nadu,Agriculture,421,Semi-skilled,None,2024-11-23
MOCK-UAN-5961-5500,55,Andhra Pradesh,Jharkhand,Agriculture,904,Highly-skilled,None,2025-04-21
MOCK-UAN-2479-9307,42,Karnataka,Andhra Pradesh,Manufacturing,424,Semi-skilled,Ayushman Bharat,2026-05-27
MOCK-UAN-3471-2013,46,Bihar,Bihar,Agriculture,222,Unskilled,PM-Kisan,2026-06-15
MOCK-UAN-8199-9586,51,Odisha,Tamil Nadu,Agriculture,903,Highly-skilled,None,2025-08-27
MOCK-UAN-1857-6482,22,Tamil Nadu,Karnataka,Agriculture,546,Skilled,PM-Kisan,2025-02-15
MOCK-UAN-3317-6731,37,Gujarat,Bihar,Agriculture,923,Highly-skilled,Ayushman Bharat,2025-01-23
MOCK-UAN-9624-2531,59,Gujarat,Andhra Pradesh,Agriculture,554,Skilled,eShram,2025-04-22
MOCK-UAN-8967-4145,32,Jharkhand,Tamil Nadu,Construction,5,Unskilled,Ayushman Bharat,2025-04-06
MOCK-UAN-3962-3712,64,Karnataka,Tamil Nadu,Gig Worker,960,Highly-skilled,PM-Kisan,2025-07-03
MOCK-UAN-8355-4833,52,Maharashtra,West Bengal,Gig Worker,683,Skilled,PM-Kisan,2025-12-10
MOCK-UAN-5616-7256,50,West Bengal,Jharkhand,Gig Worker,590,Semi-skilled,Ayushman Bharat,2024-11-07
MOCK-UAN-7081-2680,63,West Bengal,West Bengal,Agriculture,238,Unskilled,eShram,2025-06-21
MOCK-UAN-9410-3414,45,Bihar,Bihar,Gig Worker,1011,Highly-skilled,Ayushman Bharat,2024-10-12
MOCK-UAN-7495-9224,41,Maharashtra,Bihar,Agriculture,515,Semi-skilled,PM-SYM,2025-08-07
MOCK-UAN-6493-3392,26,Andhra Pradesh,West Bengal,Gig Worker,919,Highly-skilled,None,2026-04-09
MOCK-UAN-4533-3449,53,Odisha,Bihar,Agriculture,459,Semi-skilled,Ayushman Bharat,2025-06-26
MOCK-UAN-8489-2029,25,Karnataka,Andhra Pradesh,Domestic Worker,462,Semi-skilled,eShram,2025-07-10
MOCK-UAN-6780-4941,54,Gujarat,Bihar,Domestic Worker,639,Skilled,PM-SYM,2026-03-07
MOCK-UAN-9316-1333,42,Karnataka,Gujarat,Agriculture,538,Skilled,PM-SYM,2025-09-15
MOCK-UAN-6649-4950,64,Bihar,Bihar,Agriculture,383,Semi-skilled,PM-SYM,2025-09-10
MOCK-UAN-3868-8612,62,Karnataka,Karnataka,Gig Worker,426,Unskilled,None,2024-10-22
MOCK-UAN-1717-4268,20,Tamil Nadu,Tamil Nadu,Domestic Worker,914,Highly-skilled,PM-Kisan,2026-01-12
MOCK-UAN-4131-5687,40,Andhra Pradesh,Andhra Pradesh,Agriculture,612,Skilled,PM-SYM,2025-09-26
MOCK-UAN-7553-8204,42,Tamil Nadu,Tamil Nadu,Manufacturing,917,Highly-skilled,Ayushman Bharat,2026-02-28
MOCK-UAN-2353-7955,23,Gujarat,Gujarat,Gig Worker,665,Skilled,Ayushman Bharat,2025-05-15
MOCK-UAN-7981-3730,62,Karnataka,Andhra Pradesh,Agriculture,911,Highly-skilled,Ayushman Bharat,2026-07-01
MOCK-UAN-1939-2229,60,Gujarat,Jharkhand,Construction,514,Semi-skilled,PM-Kisan,2026-08-10
MOCK-UAN-1570-3068,22,Maharashtra,Maharashtra,Agriculture,564,Skilled,None,2026-06-15
MOCK-UAN-7077-7095,46,Bihar,Odisha,Agriculture,993,Highly-skilled,Ayushman Bharat,2026-07-12
MOCK-UAN-2858-1424,65,Jharkhand,Karnataka,Domestic Worker,323,Unskilled,Ayushman Bharat,2025-06-08
MOCK-UAN-4515-5678,62,Karnataka,Jharkhand,Construction,890,Highly-skilled,eShram,2026-09-15
MOCK-UAN-2438-6236,60,Tamil Nadu,Tamil Nadu,Domestic Worker,632,Skilled,Ayushman Bharat,2025-02-23
MOCK-UAN-3852-6922,50,Maharashtra,Uttar Pradesh,Gig Worker,501,Semi-skilled,None,2024-10-11
MOCK-UAN-7044-8657,53,Jharkhand,Jharkhand,Construction,389,Unskilled,Ayushman Bharat,2025-10-27
MOCK-UAN-8842-9612,44,Gujarat,Gujarat,Construction,557,Semi-skilled,Ayushman Bharat,2025-06-17
MOCK-UAN-6644-3102,53,Odisha,Jharkhand,Manufacturing,258,Unskilled,PM-SYM,2026-04-11
MOCK-UAN-4694-6669,51,Uttar Pradesh,Uttar Pradesh,Agriculture,498,Semi-skilled,PM-Kisan,2025-06-18
MOCK-UAN-2530-9234,59,Jharkhand,Maharashtra,Gig Worker,720,Skilled,PM-Kisan,2024-10-27
MOCK-UAN-1464-2330,20,Odisha,Maharashtra,Domestic Worker,941,Highly-skilled,PM-Kisan,2025-06-10
MOCK-UAN-8912-5012,61,Gujarat,Bihar,Construction,594,Semi-skilled,None,2025-11-14
MOCK-UAN-4342-6573,56,Jharkhand,Gujarat,Agriculture,887,Highly-skilled,eShram,2025-09-29
MOCK-UAN-2739-6228,33,Karnataka,West Bengal,Gig Worker,512,Semi-skilled,PM-SYM,2024-11-05
MOCK-UAN-7293-7850,33,Jharkhand,Jharkhand,Domestic Worker,555,Skilled,eShram,2025-02-25
MOCK-UAN-9433-8648,49,Uttar Pradesh,Bihar,Manufacturing,859,Highly-skilled,eShram,2025-04-23
MOCK-UAN-1797-1828,36,Karnataka,West Bengal,Agriculture,296,Unskilled,PM-SYM,2025-06-12
MOCK-UAN-7606-6995,20,Gujarat,Odisha,Gig Worker,717,Skilled,PM-Kisan,2025-06-09
MOCK-UAN-2946-3108,24,Gujarat,Tamil Nadu,Domestic Worker,613,Skilled,eShram,2025-04-06
MOCK-UAN-7576-9193,20,Andhra Pradesh,Gujarat,Manufacturing,941,Highly-skilled,eShram,2026-05-28
MOCK-UAN-3290-6373,57,Tamil Nadu,Uttar Pradesh,Domestic Worker,600,Skilled,PM-Kisan,2026-02-18
MOCK-UAN-5911-8780,19,Tamil Nadu,Bihar,Manufacturing,672,Skilled,PM-SYM,2026-05-19
MOCK-UAN-4728-1841,55,Karnataka,Gujarat,Gig Worker,536,Semi-skilled,PM-SYM,2026-04-24
MOCK-UAN-2800-4125,19,Karnataka,Jharkhand,Manufacturing,586,Semi-skilled,None,2026-02-10
MOCK-UAN-8726-2020,63,Jharkhand,Odisha,Agriculture,931,Highly-skilled,PM-Kisan,2025-10-05
MOCK-UAN-3837-8531,52,Tamil Nadu,Uttar Pradesh,Domestic Worker,857,Highly-skilled,eShram,2025-05-25
MOCK-UAN-5890-4684,37,Uttar Pradesh,Uttar Pradesh,Manufacturing,546,Skilled,None,2025-09-07
MOCK-UAN-5480-5715,25,Odisha,Odisha,Manufacturing,924,Highly-skilled,Ayushman Bharat,2025-02-11
MOCK-UAN-5712-2294,40,Karnataka,Karnataka,Manufacturing,438,Semi-skilled,eShram,2026-03-20
MOCK-UAN-5450-3249,24,Odisha,Odisha,Gig Worker,585,Semi-skilled,PM-SYM,2026-08-01
MOCK-UAN-4697-4814,21,Bihar,West Bengal,Construction,523,Semi-skilled,PM-SYM,2026-04-01
MOCK-UAN-3587-7666,59,Karnataka,Maharashtra,Agriculture,596,Skilled,Ayushman Bharat,2026-06-19
MOCK-UAN-4804-9767,65,Andhra Pradesh,Andhra Pradesh,Gig Worker,957,Highly-skilled,eShram,2024-10-22
MOCK-UAN-7504-9116,29,Uttar Pradesh,Uttar Pradesh,Construction,574,Skilled,PM-Kisan,2025-05-15
MOCK-UAN-9901-9590,49,Jharkhand,Jharkhand,Manufacturing,577,Skilled,eShram,2025-01-08
MOCK-UAN-8518-5215,63,Jharkhand,Gujarat,Agriculture,492,Semi-skilled,eShram,2026-06-02
MOCK-UAN-7643-8007,50,Tamil Nadu,Bihar,Gig Worker,560,Semi-skilled,None,2025-08-12
MOCK-UAN-1111-5272,42,Maharashtra,Tamil Nadu,Agriculture,537,Skilled,PM-Kisan,2025-06-08
MOCK-UAN-2017-2936,47,Uttar Pradesh,Odisha,Agriculture,308,Unskilled,Ayushman Bharat,2025-09-26
MOCK-UAN-4590-3188,48,Jharkhand,Gujarat,Manufacturing,919,Highly-skilled,PM-Kisan,2026-07-27
MOCK-UAN-5054-2341,51,Karnataka,Tamil Nadu,Construction,305,Unskilled,PM-SYM,2026-03-29
MOCK-UAN-4312-9792,27,Jharkhand,Odisha,Manufacturing,307,Unskilled,eShram,2026-05-05
MOCK-UAN-9361-8298,21,Karnataka,Gujarat,Manufacturing,302,Unskilled,PM-Kisan,2026-01-01
MOCK-UAN-6049-1356,43,Uttar Pradesh,Uttar Pradesh,Gig Worker,342,Unskilled,PM-SYM,2025-11-22
MOCK-UAN-2044-9866,21,Bihar,Bihar,Manufacturing,317,Unskilled,Ayushman Bharat,2026-06-24
MOCK-UAN-7887-7135,42,Karnataka,Karnataka,Manufacturing,928,Highly-skilled,PM-SYM,2026-08-15
MOCK-UAN-9835-3178,59,Tamil Nadu,Odisha,Manufacturing,504,Semi-skilled,eShram,2024-09-18
MOCK-UAN-5888-8585,61,West Bengal,Gujarat,Gig Worker,602,Semi-skilled,None,2026-06-25
MOCK-UAN-2848-1527,60,Gujarat,Gujarat,Construction,431,Semi-skilled,eShram,2026-05-20
MOCK-UAN-1797-5009,65,Andhra Pradesh,Uttar Pradesh,Domestic Worker,403,Semi-skilled,PM-SYM,2025-02-05
MOCK-UAN-5739-4836,64,Odisha,Tamil Nadu,Gig Worker,725,Skilled,eShram,2026-07-23
MOCK-UAN-7775-5923,35,Andhra Pradesh,Maharashtra,Manufacturing,925,Highly-skilled,PM-SYM,2025-09-02
MOCK-UAN-7244-9592,38,Gujarat,Uttar Pradesh,Manufacturing,475,Semi-skilled,PM-Kisan,2026-01-12
MOCK-UAN-4692-5927,63,Jharkhand,Jharkhand,Construction,1142,Highly-skilled,None,2026-04-08
MOCK-UAN-7363-4978,34,Maharashtra,Bihar,Manufacturing,628,Skilled,PM-SYM,2026-03-17
MOCK-UAN-4120-1844,35,Gujarat,Gujarat,Domestic Worker,356,Unskilled,PM-SYM,2025-03-26
MOCK-UAN-4555-8854,31,Tamil Nadu,Andhra Pradesh,Gig Worker,597,Semi-skilled,PM-SYM,2026-01-18
MOCK-UAN-4350-7498,33,West Bengal,Uttar Pradesh,Manufacturing,932,Highly-skilled,PM-Kisan,2026-07-11
MOCK-UAN-5285-6892,50,Karnataka,West Bengal,Agriculture,434,Semi-skilled,Ayushman Bharat,2025-08-01
MOCK-UAN-4625-3390,19,Uttar Pradesh,Karnataka,Agriculture,487,Semi-skilled,eShram,2025-08-18
MOCK-UAN-5026-9180,53,Tamil Nadu,West Bengal,Manufacturing,861,Highly-skilled,eShram,2025-04-18
MOCK-UAN-1962-9584,20,Bihar,Bihar,Construction,338,Unskilled,None,2025-02-02
MOCK-UAN-4791-2113,63,Jharkhand,Odisha,Manufacturing,575,Skilled,PM-SYM,2026-06-09
MOCK-UAN-8916-8993,19,Andhra Pradesh,Karnataka,Construction,354,Unskilled,PM-Kisan,2025-06-23
MOCK-UAN-5697-1280,50,Gujarat,Gujarat,Gig Worker,515,Unskilled,PM-SYM,2026-06-17
MOCK-UAN-5135-6807,35,Gujarat,Karnataka,Manufacturing,356,Semi-skilled,eShram,2025-07-19
MOCK-UAN-2320-1519,23,Gujarat,Odisha,Manufacturing,334,Unskilled,PM-SYM,2025-05-21
MOCK-UAN-6427-2562,51,Andhra Pradesh,West Bengal,Agriculture,219,Unskilled,PM-SYM,2026-08-16
MOCK-UAN-9897-1539,29,Tamil Nadu,Maharashtra,Domestic Worker,426,Semi-skilled,None,2024-12-02
MOCK-UAN-4939-7375,61,West Bengal,Jharkhand,Construction,704,Skilled,PM-SYM,2024-12-24
MOCK-UAN-2245-6580,56,Odisha,Odisha,Manufacturing,15930,Skilled,PM-SYM,2026-06-26
MOCK-UAN-8381-9038,32,Tamil Nadu,Karnataka,Manufacturing,396,Semi-skilled,PM-Kisan,2026-07-23
MOCK-UAN-5839-5037,63,Bihar,Maharashtra,Manufacturing,414,Semi-skilled,None,2025-08-05
MOCK-UAN-2499-1085,37,Karnataka,Uttar Pradesh,Construction,533,Semi-skilled,PM-SYM,2025-03-25
MOCK-UAN-9395-7685,-5,Andhra Pradesh,Odisha,Construction,613,Skilled,None,2024-09-27
MOCK-UAN-7353-2387,64,West Bengal,West Bengal,Gig Worker,560,Semi-skilled,None,2025-05-16
MOCK-UAN-3390-2036,28,Gujarat,Uttar Pradesh,Manufacturing,302,Unskilled,Ayushman Bharat,2025-05-30
